datetime,latitude,longitude,temperature,precipitation,humidity,wind_speed,solar_radiation
20200101,-18.31,126.51,31.06,17.08,62.76,2.43,4.7076
20200101,6.84,91.36,28.42,0.13,81.03,6.54,4.4278
20200101,1.92,-103.11,25.25,1.35,84.98,4.91,5.5661
20200101,16.01,-136.26,23.83,5.33,76.49,7.67,3.2626
20200101,-53.56,5.89,1.55,1.46,96.33,6.44,4.3154
20200101,-13.89,77.99,28.06,1.02,81.57,4.66,7.5262
20200101,9.38,131.35,28.47,0.94,79.31,8.66,5.1605
20200101,-13.94,3.97,23.52,0.07,79.49,6.07,4.6013
20200101,47.67,50.03,0.14,0.21,94.14,5.0,0.6158
20200101,13.67,13.04,17.65,0.0,24.8,5.66,5.1118
20200101,55.32,-114.72,-7.88,0.6,99.8,0.51,0.689
20200101,-37.82,-155.57,19.16,8.3,81.36,8.22,6.1279
20200101,-20.07,-2.0,21.76,0.02,77.6,5.75,7.9147
20200101,35.57,46.47,1.14,0.0,89.57,1.89,2.2469
20200101,51.74,-45.25,5.62,0.31,71.96,5.86,0.4925
20200101,45.35,-116.91,0.71,7.46,95.39,3.01,0.9938
20200101,-58.33,174.27,6.55,0.65,92.42,6.49,5.1742
20200101,-17.66,-69.71,9.99,0.46,64.71,2.23,4.4198
20200101,28.22,159.01,20.57,0.03,74.36,7.02,3.515
20200101,-7.26,110.19,23.26,32.7,91.89,2.12,4.0104
20200101,24.92,93.86,14.26,1.65,78.56,0.62,2.351
20200101,49.89,-151.67,3.16,0.38,70.27,8.88,0.8719
20200101,3.8,52.23,27.74,3.42,83.12,5.95,5.6112
20200101,-56.5,-87.22,6.7,1.52,81.95,12.56,6.6276
20200101,54.57,109.9,-26.77,0.19,98.27,0.97,0.5189
20200101,-22.95,-102.6,21.12,0.03,78.5,2.12,6.8986
20200101,-8.01,141.91,30.11,26.52,68.24,0.19,5.6345
20200101,-54.79,-122.35,5.65,0.45,85.96,6.38,6.7205
20200101,-40.82,176.63,17.23,0.01,83.2,5.66,8.1737
20200101,7.51,59.91,28.1,4.43,80.79,6.65,5.5404
20200101,-12.18,99.94,27.44,0.46,80.22,3.76,6.8525
20200101,52.04,113.89,-24.54,0.01,96.78,1.98,1.1522
20200101,7.1,55.67,27.81,0.61,76.48,6.16,5.9225
20200101,25.25,-110.81,18.37,0.26,74.18,2.63,3.5086
20200101,56.53,-119.72,-11.1,1.31,99.75,0.76,0.5525
20200101,46.58,32.32,1.19,0.32,86.12,4.7,0.9019
20200101,12.43,-179.68,27.82,0.27,73.92,8.9,5.197
20200101,27.14,142.02,21.26,5.46,79.23,6.78,3.1774
20200101,-12.24,-99.83,22.2,0.05,78.87,4.01,7.0385
20200101,-48.51,-125.91,8.42,1.08,84.57,6.76,5.6873
20200101,50.64,-151.07,2.99,0.61,70.28,9.5,0.93
20200101,40.17,52.95,6.23,0.01,80.6,2.86,1.5494
20200101,-16.28,-68.93,7.74,9.77,77.26,2.76,4.6584
20200101,-54.26,61.63,2.95,3.1,89.59,11.6,6.587
20200101,-42.59,-170.1,15.02,0.34,81.47,9.62,5.3369
20200101,-24.34,19.23,30.12,14.38,40.55,2.36,5.8913
20200101,-25.69,101.52,22.13,0.05,77.53,5.24,7.3898
20200101,-33.33,-143.99,20.69,25.06,94.3,10.21,2.0774
20200101,14.6,105.75,25.19,0.0,74.99,0.74,5.3976
20200101,-59.71,92.1,1.36,1.34,86.86,8.19,4.3517
20200101,11.45,-165.5,27.18,0.15,74.42,7.03,5.9064
20200101,-18.15,-166.78,26.5,0.66,79.34,6.69,7.9231
20200101,36.86,37.59,5.13,0.24,79.45,1.71,2.6592
20200101,-16.76,113.35,28.08,5.93,83.79,2.43,7.1568
20200101,45.86,-36.17,11.26,3.79,78.09,11.72,1.1642
20200101,24.84,-67.33,24.95,0.14,73.27,2.63,4.3536
20200101,-45.5,-166.83,14.32,2.86,89.2,9.6,4.9109
20200101,36.31,-96.39,4.7,0.0,74.01,5.3,3.192
20200101,37.51,33.55,-0.9,0.19,89.82,1.02,1.2821
20200101,-1.32,-82.01,23.37,0.17,90.94,4.21,6.6468
20200101,43.3,108.99,-14.3,0.0,72.8,2.94,1.9685
20200101,-28.43,79.13,21.98,1.42,84.11,6.17,8.3424
20200101,-16.54,128.47,32.04,1.77,58.33,2.27,7.253
20200101,-41.12,175.55,16.19,0.06,76.52,5.18,8.239
20200101,-5.84,-65.05,25.74,4.3,94.39,0.02,2.8238
20200101,-16.26,-102.28,21.59,0.04,76.93,3.27,6.457
20200101,-33.31,-33.19,21.17,6.62,96.16,4.5,3.72
